repeat_id,num_cells,num_modules,num_measurements,gene_set_size,lda1,lda2,sparsity,best_score
1,10000,40,200,1000,8.0,10.0,0.02,0.8587064218033766
2,10000,40,200,1000,8.0,10.0,0.02,0.8441193655933507
3,10000,40,200,1000,8.0,10.0,0.02,0.8944457572382785
4,10000,40,200,1000,8.0,10.0,0.02,0.8832829191958346
5,10000,40,200,1000,8.0,10.0,0.02,0.8733853614098043
6,10000,40,200,1000,8.0,10.0,0.02,0.8983586636609918
7,10000,40,200,1000,8.0,10.0,0.02,0.8894591423229397
8,10000,40,200,1000,8.0,10.0,0.02,0.8769926013166893
9,10000,40,200,1000,8.0,10.0,0.02,0.8654486536927727
10,10000,40,200,1000,8.0,10.0,0.02,0.8634062240601218
1,1000,40,200,1000,8.0,10.0,0.02,0.8578454364543937
2,1000,40,200,1000,8.0,10.0,0.02,0.8121312378315636
3,1000,40,200,1000,8.0,10.0,0.02,0.8924171383088707
4,1000,40,200,1000,8.0,10.0,0.02,0.8695340754111335
5,1000,40,200,1000,8.0,10.0,0.02,0.8217936699612538
6,1000,40,200,1000,8.0,10.0,0.02,0.8563376690307618
7,1000,40,200,1000,8.0,10.0,0.02,0.8059479789745415
8,1000,40,200,1000,8.0,10.0,0.02,0.8040463345478341
9,1000,40,200,1000,8.0,10.0,0.02,0.8342856354065421
10,1000,40,200,1000,8.0,10.0,0.02,0.8817333938796981
1,1000,40,200,5000,8.0,10.0,0.02,0.8131309199764424
2,1000,40,200,5000,8.0,10.0,0.02,0.8522391184642469
3,1000,40,200,5000,8.0,10.0,0.02,0.8187877728970309
4,1000,40,200,5000,8.0,10.0,0.02,0.8086827293525238
5,1000,40,200,5000,8.0,10.0,0.02,0.8833951688813835
6,1000,40,200,5000,8.0,10.0,0.02,0.8366825432301382
7,1000,40,200,5000,8.0,10.0,0.02,0.8145831757152512
8,1000,40,200,5000,8.0,10.0,0.02,0.8045515587336798
9,1000,40,200,5000,8.0,10.0,0.02,0.7180821891858103
10,1000,40,200,5000,8.0,10.0,0.02,0.8420578446493477
1,1000,40,200,500,8.0,10.0,0.02,0.7946832830477952
2,1000,40,200,500,8.0,10.0,0.02,0.8949047119621383
3,1000,40,200,500,8.0,10.0,0.02,0.8838560727441604
4,1000,40,200,500,8.0,10.0,0.02,0.898137401556531
5,1000,40,200,500,8.0,10.0,0.02,0.8628105278358822
6,1000,40,200,500,8.0,10.0,0.02,0.8953489246266628
7,1000,40,200,500,8.0,10.0,0.02,0.8408456551731968
8,1000,40,200,500,8.0,10.0,0.02,0.9013489073153067
9,1000,40,200,500,8.0,10.0,0.02,0.8991345506264489
10,1000,40,200,500,8.0,10.0,0.02,0.8884329998304358
1,10000,40,200,5000,8.0,10.0,0.02,0.7670337784827866
2,10000,40,200,5000,8.0,10.0,0.02,0.7652854521639774
3,10000,40,200,5000,8.0,10.0,0.02,0.7906959388173184
4,10000,40,200,5000,8.0,10.0,0.02,0.7558819897406704
5,10000,40,200,5000,8.0,10.0,0.02,0.7668587510734735
6,10000,40,200,5000,8.0,10.0,0.02,0.7666775198373526
7,10000,40,200,5000,8.0,10.0,0.02,0.7649198581538902
8,10000,40,200,5000,8.0,10.0,0.02,0.7648647908090797
9,10000,40,200,5000,8.0,10.0,0.02,0.76730045528006
10,10000,40,200,5000,8.0,10.0,0.02,0.7676889189214624
1,5000,40,200,500,8.0,10.0,0.02,0.9545673487352593
2,5000,40,200,500,8.0,10.0,0.02,0.9492630383716648
3,5000,40,200,500,8.0,10.0,0.02,0.9659207555278413
4,5000,40,200,500,8.0,10.0,0.02,0.9720302490534061
5,5000,40,200,500,8.0,10.0,0.02,0.9564737640658776
6,5000,40,200,500,8.0,10.0,0.02,0.9772680513175919
7,5000,40,200,500,8.0,10.0,0.02,0.975534520296675
8,5000,40,200,500,8.0,10.0,0.02,0.95828538382318
9,5000,40,200,500,8.0,10.0,0.02,0.9685801611539646
10,5000,40,200,500,8.0,10.0,0.02,0.975961050970304
1,5000,40,200,1000,8.0,10.0,0.02,0.8606974034499342
2,5000,40,200,1000,8.0,10.0,0.02,0.8695051987662834
3,5000,40,200,1000,8.0,10.0,0.02,0.8924380842467252
4,5000,40,200,1000,8.0,10.0,0.02,0.7838532108670779
5,5000,40,200,1000,8.0,10.0,0.02,0.88155426000099
6,5000,40,200,1000,8.0,10.0,0.02,0.8307997864061252
7,5000,40,200,1000,8.0,10.0,0.02,0.8636254369400647
8,5000,40,200,1000,8.0,10.0,0.02,0.8460256836442075
9,5000,40,200,1000,8.0,10.0,0.02,0.8779910415205422
10,5000,40,200,1000,8.0,10.0,0.02,0.8713175816952266
1,10000,40,200,500,8.0,10.0,0.02,0.961805469153318
2,10000,40,200,500,8.0,10.0,0.02,0.9604844512453757
3,10000,40,200,500,8.0,10.0,0.02,0.96073568234505
4,10000,40,200,500,8.0,10.0,0.02,0.960306334890018
5,10000,40,200,500,8.0,10.0,0.02,0.9619440575508013
6,10000,40,200,500,8.0,10.0,0.02,0.9578626797429528
7,10000,40,200,500,8.0,10.0,0.02,0.9565215643816529
8,10000,40,200,500,8.0,10.0,0.02,0.9614804703313281
9,10000,40,200,500,8.0,10.0,0.02,0.9607634481112773
10,10000,40,200,500,8.0,10.0,0.02,0.9581573407495592
1,30000,40,200,1000,8.0,10.0,0.02,0.8476358424570687
2,30000,40,200,1000,8.0,10.0,0.02,0.8418825161356156
3,30000,40,200,1000,8.0,10.0,0.02,0.8100760785577676
4,30000,40,200,1000,8.0,10.0,0.02,0.8437711107691482
5,30000,40,200,1000,8.0,10.0,0.02,0.8487164407267577
6,30000,40,200,1000,8.0,10.0,0.02,0.841470377333057
7,30000,40,200,1000,8.0,10.0,0.02,0.8599030046757505
8,30000,40,200,1000,8.0,10.0,0.02,0.8556100588111022
9,30000,40,200,1000,8.0,10.0,0.02,0.839537114217794
10,30000,40,200,1000,8.0,10.0,0.02,0.8454526553473847
1,30000,40,200,500,8.0,10.0,0.02,0.873336852297384
2,30000,40,200,500,8.0,10.0,0.02,0.8942115471058671
3,30000,40,200,500,8.0,10.0,0.02,0.862389031178439
4,30000,40,200,500,8.0,10.0,0.02,0.8784157794949907
5,30000,40,200,500,8.0,10.0,0.02,0.8701846750178146
6,30000,40,200,500,8.0,10.0,0.02,0.8839654146644895
7,30000,40,200,500,8.0,10.0,0.02,0.8585931050029771
8,30000,40,200,500,8.0,10.0,0.02,0.8745717903186541
9,30000,40,200,500,8.0,10.0,0.02,0.8926931164798402
10,30000,40,200,500,8.0,10.0,0.02,0.8729504713422082
1,5000,40,200,5000,8.0,10.0,0.02,0.7474907767231498
2,5000,40,200,5000,8.0,10.0,0.02,0.7348978273827727
3,5000,40,200,5000,8.0,10.0,0.02,0.7714307808709605
4,5000,40,200,5000,8.0,10.0,0.02,0.757332798970341
5,5000,40,200,5000,8.0,10.0,0.02,0.7513734093060506
6,5000,40,200,5000,8.0,10.0,0.02,0.7543487307905163
7,5000,40,200,5000,8.0,10.0,0.02,0.7442788380876935
8,5000,40,200,5000,8.0,10.0,0.02,0.7535825961239425
9,5000,40,200,5000,8.0,10.0,0.02,0.7505032641979487
10,5000,40,200,5000,8.0,10.0,0.02,0.7627041352366978
1,20000,40,200,500,8.0,10.0,0.02,0.9044592023894962
2,20000,40,200,500,8.0,10.0,0.02,0.9236757987498271
3,20000,40,200,500,8.0,10.0,0.02,0.9281084463975241
4,20000,40,200,500,8.0,10.0,0.02,0.9290186306759988
5,20000,40,200,500,8.0,10.0,0.02,0.9282630820468264
6,20000,40,200,500,8.0,10.0,0.02,0.9246003950409627
7,20000,40,200,500,8.0,10.0,0.02,0.9266003828905323
8,20000,40,200,500,8.0,10.0,0.02,0.9124215773578614
9,20000,40,200,500,8.0,10.0,0.02,0.9242417567498461
10,20000,40,200,500,8.0,10.0,0.02,0.9179505057585762
1,50000,40,200,500,8.0,10.0,0.02,0.8311355459863751
2,50000,40,200,500,8.0,10.0,0.02,0.8419981744672342
3,50000,40,200,500,8.0,10.0,0.02,0.8386189365942748
4,50000,40,200,500,8.0,10.0,0.02,0.8305251129246083
5,50000,40,200,500,8.0,10.0,0.02,0.8321242241100644
6,50000,40,200,500,8.0,10.0,0.02,0.8279441879310578
7,50000,40,200,500,8.0,10.0,0.02,0.8214426105407716
8,50000,40,200,500,8.0,10.0,0.02,0.8361426491818851
9,50000,40,200,500,8.0,10.0,0.02,0.8214605176860756
10,50000,40,200,500,8.0,10.0,0.02,0.8296446919965748
1,20000,40,200,1000,8.0,10.0,0.02,0.8513263911606754
2,20000,40,200,1000,8.0,10.0,0.02,0.8535651084906251
3,20000,40,200,1000,8.0,10.0,0.02,0.8458868653863453
4,20000,40,200,1000,8.0,10.0,0.02,0.8646978199666862
5,20000,40,200,1000,8.0,10.0,0.02,0.860795026774696
6,20000,40,200,1000,8.0,10.0,0.02,0.8494956133402265
7,20000,40,200,1000,8.0,10.0,0.02,0.8118829053172707
8,20000,40,200,1000,8.0,10.0,0.02,0.8624714718605571
9,20000,40,200,1000,8.0,10.0,0.02,0.8610593386017743
10,20000,40,200,1000,8.0,10.0,0.02,0.8323983483889486
1,50000,40,200,1000,8.0,10.0,0.02,0.8111303471707766
2,50000,40,200,1000,8.0,10.0,0.02,0.8238907946261038
3,50000,40,200,1000,8.0,10.0,0.02,0.820843741947188
4,50000,40,200,1000,8.0,10.0,0.02,0.8343738157881362
5,50000,40,200,1000,8.0,10.0,0.02,0.8071457458858431
6,50000,40,200,1000,8.0,10.0,0.02,0.8152848653026364
7,50000,40,200,1000,8.0,10.0,0.02,0.8344161199434236
8,50000,40,200,1000,8.0,10.0,0.02,0.8390843289657998
9,50000,40,200,1000,8.0,10.0,0.02,0.8213183063272012
10,50000,40,200,1000,8.0,10.0,0.02,0.8207351551943513
1,100000,40,200,1000,8.0,10.0,0.02,0.7893495057522972
2,100000,40,200,1000,8.0,10.0,0.02,0.7738714741188443
3,100000,40,200,1000,8.0,10.0,0.02,0.7713003780767319
4,100000,40,200,1000,8.0,10.0,0.02,0.7672463548356131
5,100000,40,200,1000,8.0,10.0,0.02,0.7774589342298124
6,100000,40,200,1000,8.0,10.0,0.02,0.7700800780300623
7,100000,40,200,1000,8.0,10.0,0.02,0.7526289281759553
8,100000,40,200,1000,8.0,10.0,0.02,0.7765710541862717
9,100000,40,200,1000,8.0,10.0,0.02,0.7750218974838003
10,100000,40,200,1000,8.0,10.0,0.02,0.7701823115531397
1,100000,40,200,500,8.0,10.0,0.02,0.7602644672295319
2,100000,40,200,500,8.0,10.0,0.02,0.7555437276624337
3,100000,40,200,500,8.0,10.0,0.02,0.7603666631086288
4,100000,40,200,500,8.0,10.0,0.02,0.7490032091723706
5,100000,40,200,500,8.0,10.0,0.02,0.7729928768224472
6,100000,40,200,500,8.0,10.0,0.02,0.760792530229438
7,100000,40,200,500,8.0,10.0,0.02,0.7540624231648756
8,100000,40,200,500,8.0,10.0,0.02,0.7552913423849398
9,100000,40,200,500,8.0,10.0,0.02,0.7749361839132862
10,100000,40,200,500,8.0,10.0,0.02,0.7597108301941001
1,20000,40,200,5000,8.0,10.0,0.02,0.7508957842591587
2,20000,40,200,5000,8.0,10.0,0.02,0.7547757239476317
3,20000,40,200,5000,8.0,10.0,0.02,0.739617657192655
4,20000,40,200,5000,8.0,10.0,0.02,0.7449660930084402
5,20000,40,200,5000,8.0,10.0,0.02,0.7539199010775111
6,20000,40,200,5000,8.0,10.0,0.02,0.7455379116612959
7,20000,40,200,5000,8.0,10.0,0.02,0.7513441632938602
8,20000,40,200,5000,8.0,10.0,0.02,0.7513404958265304
9,20000,40,200,5000,8.0,10.0,0.02,0.7458210109805169
10,20000,40,200,5000,8.0,10.0,0.02,0.7441005445320377
1,75000,40,200,500,8.0,10.0,0.02,0.7923692700914365
2,75000,40,200,500,8.0,10.0,0.02,0.7940619947030934
3,75000,40,200,500,8.0,10.0,0.02,0.7988602492653265
4,75000,40,200,500,8.0,10.0,0.02,0.7928208636927399
5,75000,40,200,500,8.0,10.0,0.02,0.7964274306592958
6,75000,40,200,500,8.0,10.0,0.02,0.7914431760623675
7,75000,40,200,500,8.0,10.0,0.02,0.7927026336116061
8,75000,40,200,500,8.0,10.0,0.02,0.795287703242604
9,75000,40,200,500,8.0,10.0,0.02,0.78148961655161
10,75000,40,200,500,8.0,10.0,0.02,0.7781578723250678
1,75000,40,200,1000,8.0,10.0,0.02,0.7722154219887492
2,75000,40,200,1000,8.0,10.0,0.02,0.7859427641574639
3,75000,40,200,1000,8.0,10.0,0.02,0.8117850157907031
4,75000,40,200,1000,8.0,10.0,0.02,0.8097930786011851
5,75000,40,200,1000,8.0,10.0,0.02,0.8098525705282303
6,75000,40,200,1000,8.0,10.0,0.02,0.8102017871756171
7,75000,40,200,1000,8.0,10.0,0.02,0.7912693552417663
8,75000,40,200,1000,8.0,10.0,0.02,0.8175231153386365
9,75000,40,200,1000,8.0,10.0,0.02,0.8083502720888265
10,75000,40,200,1000,8.0,10.0,0.02,0.8021773690043054
1,30000,40,200,5000,8.0,10.0,0.02,0.7347406126253323
2,30000,40,200,5000,8.0,10.0,0.02,0.7269203496027752
3,30000,40,200,5000,8.0,10.0,0.02,0.7285639162680049
4,30000,40,200,5000,8.0,10.0,0.02,0.7265848782865886
5,30000,40,200,5000,8.0,10.0,0.02,0.7259847844056029
6,30000,40,200,5000,8.0,10.0,0.02,0.7335384519886861
7,30000,40,200,5000,8.0,10.0,0.02,0.7321229766370474
8,30000,40,200,5000,8.0,10.0,0.02,0.7283774677865015
9,30000,40,200,5000,8.0,10.0,0.02,0.7277715442908096
10,30000,40,200,5000,8.0,10.0,0.02,0.7315526621398025
1,50000,40,200,5000,8.0,10.0,0.02,0.7277581626250778
2,50000,40,200,5000,8.0,10.0,0.02,0.7262032624388077
3,50000,40,200,5000,8.0,10.0,0.02,0.7227076923795167
4,50000,40,200,5000,8.0,10.0,0.02,0.724988686701014
5,50000,40,200,5000,8.0,10.0,0.02,0.7248595920082854
6,50000,40,200,5000,8.0,10.0,0.02,0.7268271641809853
7,50000,40,200,5000,8.0,10.0,0.02,0.7226101920557916
8,50000,40,200,5000,8.0,10.0,0.02,0.724583659620867
9,50000,40,200,5000,8.0,10.0,0.02,0.7255655910306252
10,50000,40,200,5000,8.0,10.0,0.02,0.7239698075671765
1,75000,40,200,5000,8.0,10.0,0.02,0.7173770943514554
2,75000,40,200,5000,8.0,10.0,0.02,0.7195968320552398
3,75000,40,200,5000,8.0,10.0,0.02,0.7229667149648927
4,75000,40,200,5000,8.0,10.0,0.02,0.7232916828310005
5,75000,40,200,5000,8.0,10.0,0.02,0.7152616302624597
6,75000,40,200,5000,8.0,10.0,0.02,0.7187252623605298
7,75000,40,200,5000,8.0,10.0,0.02,0.7168120994282831
8,75000,40,200,5000,8.0,10.0,0.02,0.7223343418845272
9,75000,40,200,5000,8.0,10.0,0.02,0.7231255901008379
10,75000,40,200,5000,8.0,10.0,0.02,0.7240245804388706
1,100000,40,200,5000,8.0,10.0,0.02,0.7178989112063379
2,100000,40,200,5000,8.0,10.0,0.02,0.7147658033128187
3,100000,40,200,5000,8.0,10.0,0.02,0.7126871146695859
4,100000,40,200,5000,8.0,10.0,0.02,0.7147157191157917
5,100000,40,200,5000,8.0,10.0,0.02,0.7157915279859982
6,100000,40,200,5000,8.0,10.0,0.02,0.7181658305915575
7,100000,40,200,5000,8.0,10.0,0.02,0.7146679001960156
8,100000,40,200,5000,8.0,10.0,0.02,0.7059642185197526
9,100000,40,200,5000,8.0,10.0,0.02,0.7147391252702503
10,100000,40,200,5000,8.0,10.0,0.02,0.7066607360589221
