repeat_id,num_measurements,num_modules,lda1,lda2,sparsity,gene_set_size,best_score
9,100,40,8.0,10.0,0.02,500,0.9143512385844911
10,100,40,8.0,10.0,0.02,500,0.9222178721242329
1,200,40,8.0,10.0,0.02,5000,0.7583096353279781
2,200,40,8.0,10.0,0.02,5000,0.76045818195654
3,200,40,8.0,10.0,0.02,5000,0.7595869849876692
4,200,40,8.0,10.0,0.02,5000,0.7655830509427064
5,200,40,8.0,10.0,0.02,5000,0.7578919523889219
6,200,40,8.0,10.0,0.02,5000,0.7530296844355016
7,200,40,8.0,10.0,0.02,5000,0.7684623157351841
8,200,40,8.0,10.0,0.02,5000,0.7607284189514779
9,200,40,8.0,10.0,0.02,5000,0.7682981290194213
10,200,40,8.0,10.0,0.02,5000,0.7650200258336249
1,300,40,8.0,10.0,0.02,500,0.9709373221461499
2,300,40,8.0,10.0,0.02,500,0.9709269849394871
3,300,40,8.0,10.0,0.02,500,0.9719991706950417
4,300,40,8.0,10.0,0.02,500,0.9649278538650244
5,300,40,8.0,10.0,0.02,500,0.9735645736072037
6,300,40,8.0,10.0,0.02,500,0.9693505944981036
7,300,40,8.0,10.0,0.02,500,0.9702935336439511
8,300,40,8.0,10.0,0.02,500,0.9721442689290543
9,300,40,8.0,10.0,0.02,500,0.9667098561756551
10,300,40,8.0,10.0,0.02,500,0.9676112984816249
1,100,40,8.0,10.0,0.02,1000,0.8556289033838188
2,100,40,8.0,10.0,0.02,1000,0.8736607235454813
3,100,40,8.0,10.0,0.02,1000,0.8622163356769741
4,100,40,8.0,10.0,0.02,1000,0.8524977350233415
5,100,40,8.0,10.0,0.02,1000,0.8108287420359749
6,100,40,8.0,10.0,0.02,1000,0.8721903447459438
7,100,40,8.0,10.0,0.02,1000,0.8656768926200843
8,100,40,8.0,10.0,0.02,1000,0.8412372098839531
9,100,40,8.0,10.0,0.02,1000,0.8655541340928936
10,100,40,8.0,10.0,0.02,1000,0.8521987573901189
1,200,40,8.0,10.0,0.02,1000,0.8928517334365015
2,200,40,8.0,10.0,0.02,1000,0.8869609755609639
3,200,40,8.0,10.0,0.02,1000,0.8360788824331262
4,200,40,8.0,10.0,0.02,1000,0.8299073821418061
5,200,40,8.0,10.0,0.02,1000,0.8830101524588945
6,200,40,8.0,10.0,0.02,1000,0.888681993144686
7,200,40,8.0,10.0,0.02,1000,0.880359621773977
8,200,40,8.0,10.0,0.02,1000,0.8969217734417301
9,200,40,8.0,10.0,0.02,1000,0.8926657075031388
10,200,40,8.0,10.0,0.02,1000,0.8969868282216854
1,250,40,8.0,10.0,0.02,1000,0.8955999300117032
2,250,40,8.0,10.0,0.02,1000,0.8924363531433159
3,250,40,8.0,10.0,0.02,1000,0.8854104459305888
4,250,40,8.0,10.0,0.02,1000,0.8976832848207422
5,250,40,8.0,10.0,0.02,1000,0.9022470111440363
6,250,40,8.0,10.0,0.02,1000,0.8978992540277926
7,250,40,8.0,10.0,0.02,1000,0.8816416003748321
8,250,40,8.0,10.0,0.02,1000,0.8864429701326941
9,250,40,8.0,10.0,0.02,1000,0.8877478963998026
10,250,40,8.0,10.0,0.02,1000,0.8947165455368853
1,150,40,8.0,10.0,0.02,500,0.9444006076296132
2,150,40,8.0,10.0,0.02,500,0.9428805195056994
3,150,40,8.0,10.0,0.02,500,0.9472254356582394
4,150,40,8.0,10.0,0.02,500,0.9468973155287271
5,150,40,8.0,10.0,0.02,500,0.9483907154060333
6,150,40,8.0,10.0,0.02,500,0.9465504682466476
7,150,40,8.0,10.0,0.02,500,0.9427856364230379
8,150,40,8.0,10.0,0.02,500,0.946962850298561
9,150,40,8.0,10.0,0.02,500,0.9413664195378734
10,150,40,8.0,10.0,0.02,500,0.9444588146076439
1,250,40,8.0,10.0,0.02,500,0.9619138602230716
2,250,40,8.0,10.0,0.02,500,0.9662118485299941
3,250,40,8.0,10.0,0.02,500,0.9661079952649104
4,250,40,8.0,10.0,0.02,500,0.9669213547209754
5,250,40,8.0,10.0,0.02,500,0.9658384842081101
6,250,40,8.0,10.0,0.02,500,0.9666594426406533
7,250,40,8.0,10.0,0.02,500,0.9682253670690933
8,250,40,8.0,10.0,0.02,500,0.9602718004857406
9,250,40,8.0,10.0,0.02,500,0.9276414107737115
10,250,40,8.0,10.0,0.02,500,0.9688855804776657
1,300,40,8.0,10.0,0.02,1000,0.9043060350794273
2,300,40,8.0,10.0,0.02,1000,0.8827824771192588
3,300,40,8.0,10.0,0.02,1000,0.882676149414745
4,300,40,8.0,10.0,0.02,1000,0.8884332950134982
5,300,40,8.0,10.0,0.02,1000,0.8821123499728692
6,300,40,8.0,10.0,0.02,1000,0.9032717780895487
7,300,40,8.0,10.0,0.02,1000,0.9025526064908883
8,300,40,8.0,10.0,0.02,1000,0.8870758395583243
9,300,40,8.0,10.0,0.02,1000,0.9077405020393379
10,300,40,8.0,10.0,0.02,1000,0.8682058150267832
1,300,40,8.0,10.0,0.02,5000,0.7887395418405944
2,300,40,8.0,10.0,0.02,5000,0.7659893481725992
3,300,40,8.0,10.0,0.02,5000,0.7842357317053477
4,300,40,8.0,10.0,0.02,5000,0.7702086092895059
5,300,40,8.0,10.0,0.02,5000,0.7584309862023306
6,300,40,8.0,10.0,0.02,5000,0.7810688657543174
7,300,40,8.0,10.0,0.02,5000,0.7756752665496307
8,300,40,8.0,10.0,0.02,5000,0.7851360131018523
9,300,40,8.0,10.0,0.02,5000,0.7789128880218805
10,300,40,8.0,10.0,0.02,5000,0.784725757900554
1,150,40,8.0,10.0,0.02,5000,0.7576927716860777
2,150,40,8.0,10.0,0.02,5000,0.7618352244849818
3,150,40,8.0,10.0,0.02,5000,0.7525149230002941
4,150,40,8.0,10.0,0.02,5000,0.7575484676663646
5,150,40,8.0,10.0,0.02,5000,0.7641654857637392
6,150,40,8.0,10.0,0.02,5000,0.7625297095226069
7,150,40,8.0,10.0,0.02,5000,0.7539472719184958
8,150,40,8.0,10.0,0.02,5000,0.7558577199345053
9,150,40,8.0,10.0,0.02,5000,0.7581187462170671
10,150,40,8.0,10.0,0.02,5000,0.7473072182378837
1,250,40,8.0,10.0,0.02,5000,0.7759501225289746
2,250,40,8.0,10.0,0.02,5000,0.7779303819189493
3,250,40,8.0,10.0,0.02,5000,0.7608032692711586
4,250,40,8.0,10.0,0.02,5000,0.764532893937905
5,250,40,8.0,10.0,0.02,5000,0.7741003679530479
6,250,40,8.0,10.0,0.02,5000,0.7766695944133429
7,250,40,8.0,10.0,0.02,5000,0.774907729773718
8,250,40,8.0,10.0,0.02,5000,0.766156607757905
9,250,40,8.0,10.0,0.02,5000,0.7699759135096063
10,250,40,8.0,10.0,0.02,5000,0.7706429441563544
1,100,40,8.0,10.0,0.02,5000,0.7358693917966751
2,100,40,8.0,10.0,0.02,5000,0.7138169368269112
3,100,40,8.0,10.0,0.02,5000,0.7332913103181915
4,100,40,8.0,10.0,0.02,5000,0.7554203042567362
5,100,40,8.0,10.0,0.02,5000,0.7233692085705377
6,100,40,8.0,10.0,0.02,5000,0.7380683860577711
7,100,40,8.0,10.0,0.02,5000,0.7378379202940729
8,100,40,8.0,10.0,0.02,5000,0.7399145492282596
9,100,40,8.0,10.0,0.02,5000,0.728661377607545
10,100,40,8.0,10.0,0.02,5000,0.7308487821028183
1,400,40,8.0,10.0,0.02,500,0.975912619387264
2,400,40,8.0,10.0,0.02,500,0.9760478540815769
3,400,40,8.0,10.0,0.02,500,0.9792035149117368
4,400,40,8.0,10.0,0.02,500,0.9779406997176574
5,400,40,8.0,10.0,0.02,500,0.9723638510347817
6,400,40,8.0,10.0,0.02,500,0.9784459508494979
7,400,40,8.0,10.0,0.02,500,0.9782055961474168
8,400,40,8.0,10.0,0.02,500,0.9780747877545954
9,400,40,8.0,10.0,0.02,500,0.9764170206291646
10,400,40,8.0,10.0,0.02,500,0.975814094713865
1,400,40,8.0,10.0,0.02,1000,0.887111693521092
2,400,40,8.0,10.0,0.02,1000,0.8891533412698108
3,400,40,8.0,10.0,0.02,1000,0.8896735016888399
4,400,40,8.0,10.0,0.02,1000,0.8765688297701797
5,400,40,8.0,10.0,0.02,1000,0.8701755612762594
6,400,40,8.0,10.0,0.02,1000,0.903007041416803
7,400,40,8.0,10.0,0.02,1000,0.8996888860141844
8,400,40,8.0,10.0,0.02,1000,0.906927041973803
9,400,40,8.0,10.0,0.02,1000,0.8794068077221596
10,400,40,8.0,10.0,0.02,1000,0.8795541668985968
1,50,40,8.0,10.0,0.02,500,0.8749658578257428
2,50,40,8.0,10.0,0.02,500,0.8226418697355093
3,50,40,8.0,10.0,0.02,500,0.8575238897381904
4,50,40,8.0,10.0,0.02,500,0.8405369532051585
5,50,40,8.0,10.0,0.02,500,0.8369904528842025
6,50,40,8.0,10.0,0.02,500,0.8394843437541902
7,50,40,8.0,10.0,0.02,500,0.8545730311468097
8,50,40,8.0,10.0,0.02,500,0.8364602966260658
9,50,40,8.0,10.0,0.02,500,0.8297155131656782
10,50,40,8.0,10.0,0.02,500,0.8410628234640943
1,500,40,8.0,10.0,0.02,1000,0.8932514233146396
2,500,40,8.0,10.0,0.02,1000,0.8856702452709065
3,500,40,8.0,10.0,0.02,1000,0.8936648227861856
4,500,40,8.0,10.0,0.02,1000,0.9226603727203144
5,500,40,8.0,10.0,0.02,1000,0.89355581330434
6,500,40,8.0,10.0,0.02,1000,0.9050312067337444
7,500,40,8.0,10.0,0.02,1000,0.9019288394309746
8,500,40,8.0,10.0,0.02,1000,0.8984889636787677
9,500,40,8.0,10.0,0.02,1000,0.863821278257152
10,500,40,8.0,10.0,0.02,1000,0.6573713102794728
1,50,40,8.0,10.0,0.02,1000,0.7790831641106952
2,50,40,8.0,10.0,0.02,1000,0.5609405209562801
3,50,40,8.0,10.0,0.02,1000,0.7790013089659354
4,50,40,8.0,10.0,0.02,1000,0.8045186309931205
5,50,40,8.0,10.0,0.02,1000,0.7675528087909851
6,50,40,8.0,10.0,0.02,1000,0.7923113529323285
7,50,40,8.0,10.0,0.02,1000,0.797053893512696
8,50,40,8.0,10.0,0.02,1000,0.7869701133623006
9,50,40,8.0,10.0,0.02,1000,0.7980090140672743
10,50,40,8.0,10.0,0.02,1000,0.7659986488952056
1,500,40,8.0,10.0,0.02,5000,0.7938805914168194
2,500,40,8.0,10.0,0.02,5000,0.7889563447332162
3,500,40,8.0,10.0,0.02,5000,0.7892713931225748
4,500,40,8.0,10.0,0.02,5000,0.7865363135429468
5,500,40,8.0,10.0,0.02,5000,0.7934357931958151
6,500,40,8.0,10.0,0.02,5000,0.7910133974215604
7,500,40,8.0,10.0,0.02,5000,0.7905297831227491
8,500,40,8.0,10.0,0.02,5000,0.7908958478712851
9,500,40,8.0,10.0,0.02,5000,0.7873481483876816
10,500,40,8.0,10.0,0.02,5000,0.7977249637417669
1,400,40,8.0,10.0,0.02,5000,0.7927272308924498
2,400,40,8.0,10.0,0.02,5000,0.7739077397038906
3,400,40,8.0,10.0,0.02,5000,0.7820573539598452
4,400,40,8.0,10.0,0.02,5000,0.7887692367000779
5,400,40,8.0,10.0,0.02,5000,0.7795603977171888
6,400,40,8.0,10.0,0.02,5000,0.7853211141429587
7,400,40,8.0,10.0,0.02,5000,0.7845492906233887
8,400,40,8.0,10.0,0.02,5000,0.7833521251909001
9,400,40,8.0,10.0,0.02,5000,0.7925211951114076
10,400,40,8.0,10.0,0.02,5000,0.785341403780601
1,50,40,8.0,10.0,0.02,5000,0.6554321125925165
2,50,40,8.0,10.0,0.02,5000,0.6457058186526761
3,50,40,8.0,10.0,0.02,5000,0.6463174799761456
4,50,40,8.0,10.0,0.02,5000,0.664979085057329
5,50,40,8.0,10.0,0.02,5000,0.6988464267453911
6,50,40,8.0,10.0,0.02,5000,0.6824100334730316
7,50,40,8.0,10.0,0.02,5000,0.6391823408856753
8,50,40,8.0,10.0,0.02,5000,0.6760230915055171
9,50,40,8.0,10.0,0.02,5000,0.6710381586134943
10,50,40,8.0,10.0,0.02,5000,0.6637655574444433
1,150,40,8.0,10.0,0.02,1000,0.8472165069255273
2,150,40,8.0,10.0,0.02,1000,0.8363069253010591
3,150,40,8.0,10.0,0.02,1000,0.8569423323932787
4,150,40,8.0,10.0,0.02,1000,0.8425411999799084
5,150,40,8.0,10.0,0.02,1000,0.8820738076501695
6,150,40,8.0,10.0,0.02,1000,0.8536979305527062
7,150,40,8.0,10.0,0.02,1000,0.8832868569075107
8,150,40,8.0,10.0,0.02,1000,0.884330762453619
9,150,40,8.0,10.0,0.02,1000,0.8804140492497586
10,150,40,8.0,10.0,0.02,1000,0.8572430851727735
1,200,40,8.0,10.0,0.02,500,0.9523679574009134
2,200,40,8.0,10.0,0.02,500,0.9627933129433724
3,200,40,8.0,10.0,0.02,500,0.959250235275479
4,200,40,8.0,10.0,0.02,500,0.9597296622228836
5,200,40,8.0,10.0,0.02,500,0.9562549225010897
6,200,40,8.0,10.0,0.02,500,0.9579317598879724
7,200,40,8.0,10.0,0.02,500,0.9630607779655831
8,200,40,8.0,10.0,0.02,500,0.9546048477358884
9,200,40,8.0,10.0,0.02,500,0.9559616147256911
10,200,40,8.0,10.0,0.02,500,0.961539506384736
