num_measurements,num_cells,min_pools_per_gene,max_pools_per_gene,num_modules,lda1,lda2,sparsity,gene_set_size,avg_best_score
100,10000,1,6,40,8.0,8.0,0.02,500,0.8626076149296897
100,10000,1,6,40,8.0,8.0,0.02,1000,0.8264350347868662
100,10000,1,1,40,8.0,8.0,0.02,500,0.7562619060432036
100,10000,1,8,40,8.0,8.0,0.02,500,0.900811812020374
100,10000,1,5,40,8.0,8.0,0.02,500,0.9053302446580231
100,10000,1,3,40,8.0,8.0,0.02,1000,0.8264392149724419
100,10000,1,7,40,8.0,8.0,0.02,1000,0.8101112418691219
100,10000,1,7,40,8.0,8.0,0.02,500,0.9058142823352174
100,10000,1,3,40,8.0,8.0,0.02,500,0.9011540838553656
100,10000,1,4,40,8.0,8.0,0.02,500,0.9067815741872405
100,10000,1,1,40,8.0,8.0,0.02,1000,0.6678127127937403
100,10000,1,2,40,8.0,8.0,0.02,1000,0.8307435372862244
100,10000,1,2,40,8.0,8.0,0.02,500,0.9008361759095026
100,10000,1,5,40,8.0,8.0,0.02,1000,0.824320555359774
100,10000,1,8,40,8.0,8.0,0.02,1000,0.7902217349633336
100,10000,1,4,40,8.0,8.0,0.02,1000,0.7515501674378815
100,10000,1,2,40,8.0,8.0,0.02,5000,0.7165957058084178
100,10000,1,1,40,8.0,8.0,0.02,5000,0.6647796187509522
100,10000,1,4,40,8.0,8.0,0.02,5000,0.7189381131076369
100,10000,2,1,40,8.0,8.0,0.02,500,0.7638475122423747
100,10000,2,2,40,8.0,8.0,0.02,500,0.9031668493616423
100,10000,1,6,40,8.0,8.0,0.02,5000,0.715424872836609
100,10000,1,5,40,8.0,8.0,0.02,5000,0.715087190018248
100,10000,1,7,40,8.0,8.0,0.02,5000,0.7079820815370144
100,10000,1,3,40,8.0,8.0,0.02,5000,0.7010259849951783
100,10000,1,8,40,8.0,8.0,0.02,5000,0.7075861046630336
100,10000,2,3,40,8.0,8.0,0.02,500,0.9005921315403829
100,10000,2,3,40,8.0,8.0,0.02,1000,0.7981657087887049
100,10000,2,2,40,8.0,8.0,0.02,1000,0.8216097517247404
100,10000,2,2,40,8.0,8.0,0.02,5000,0.7082679263393776
100,10000,2,1,40,8.0,8.0,0.02,1000,0.7132386747087822
100,10000,2,4,40,8.0,8.0,0.02,500,0.8810542640054383
100,10000,2,7,40,8.0,8.0,0.02,1000,0.8074944954692717
100,10000,2,6,40,8.0,8.0,0.02,500,0.8908317929264082
100,10000,2,5,40,8.0,8.0,0.02,500,0.8496343134445654
100,10000,2,3,40,8.0,8.0,0.02,5000,0.7191960281881427
100,10000,2,6,40,8.0,8.0,0.02,5000,0.706889381037198
100,10000,2,7,40,8.0,8.0,0.02,500,0.9036798719598498
100,10000,2,5,40,8.0,8.0,0.02,1000,0.830128890496356
100,10000,3,1,40,8.0,8.0,0.02,1000,0.5978858191556558
100,10000,2,1,40,8.0,8.0,0.02,5000,0.6597309301986494
100,10000,2,7,40,8.0,8.0,0.02,5000,0.7037894586712012
100,10000,2,8,40,8.0,8.0,0.02,1000,0.8287625524339104
100,10000,3,1,40,8.0,8.0,0.02,500,0.7676172816457708
100,10000,2,8,40,8.0,8.0,0.02,500,0.9018633638383609
100,10000,2,5,40,8.0,8.0,0.02,5000,0.7069097703511747
100,10000,2,8,40,8.0,8.0,0.02,5000,0.70843716261127
100,10000,3,3,40,8.0,8.0,0.02,500,0.9014328857937878
100,10000,3,2,40,8.0,8.0,0.02,500,0.904383668039437
100,10000,2,4,40,8.0,8.0,0.02,1000,0.8339133380559233
100,10000,2,6,40,8.0,8.0,0.02,1000,0.8333659157264351
100,10000,3,3,40,8.0,8.0,0.02,1000,0.8408987685243948
100,10000,3,2,40,8.0,8.0,0.02,1000,0.824101107290333
100,10000,3,3,40,8.0,8.0,0.02,5000,0.7233296725761467
100,10000,3,5,40,8.0,8.0,0.02,500,0.9075722754742535
100,10000,3,6,40,8.0,8.0,0.02,500,0.8918741664626314
100,10000,3,4,40,8.0,8.0,0.02,1000,0.83130807535122
100,10000,2,4,40,8.0,8.0,0.02,5000,0.7178892433930618
100,10000,3,1,40,8.0,8.0,0.02,5000,0.6879525580787931
100,10000,3,4,40,8.0,8.0,0.02,500,0.8691368428532809
100,10000,3,5,40,8.0,8.0,0.02,1000,0.8293995460059665
100,10000,3,7,40,8.0,8.0,0.02,500,0.9050885159352362
100,10000,3,2,40,8.0,8.0,0.02,5000,0.707706532772892
100,10000,3,4,40,8.0,8.0,0.02,5000,0.7040364909884598
100,10000,3,7,40,8.0,8.0,0.02,1000,0.8177269828745416
100,10000,3,6,40,8.0,8.0,0.02,5000,0.714410104641461
100,10000,3,8,40,8.0,8.0,0.02,500,0.9023035463854419
100,10000,3,8,40,8.0,8.0,0.02,1000,0.8193662743789483
100,10000,3,6,40,8.0,8.0,0.02,1000,0.828787698628546
100,10000,3,5,40,8.0,8.0,0.02,5000,0.7215397329091526
100,10000,4,3,40,8.0,8.0,0.02,500,0.9057062265632819
100,10000,4,2,40,8.0,8.0,0.02,500,0.9003597796549417
100,10000,4,3,40,8.0,8.0,0.02,1000,0.8186452504253792
100,10000,3,7,40,8.0,8.0,0.02,5000,0.7020254350469719
100,10000,3,8,40,8.0,8.0,0.02,5000,0.7066686561841851
100,10000,4,2,40,8.0,8.0,0.02,5000,0.7099740615717476
100,10000,4,1,40,8.0,8.0,0.02,500,0.8055929571991495
100,10000,4,4,40,8.0,8.0,0.02,500,0.896783540791748
100,10000,4,1,40,8.0,8.0,0.02,1000,0.7150171058120769
100,10000,4,5,40,8.0,8.0,0.02,500,0.9069490977755906
100,10000,4,5,40,8.0,8.0,0.02,1000,0.8249533298228483
100,10000,4,2,40,8.0,8.0,0.02,1000,0.8157599562616115
100,10000,4,1,40,8.0,8.0,0.02,5000,0.6905834659678264
100,10000,4,3,40,8.0,8.0,0.02,5000,0.7125745314008329
100,10000,4,8,40,8.0,8.0,0.02,1000,0.8264975183520619
100,10000,4,8,40,8.0,8.0,0.02,500,0.896494002857249
100,10000,4,4,40,8.0,8.0,0.02,1000,0.8389179157041855
100,10000,4,6,40,8.0,8.0,0.02,5000,0.7101869464335933
100,10000,4,6,40,8.0,8.0,0.02,1000,0.807741749269347
100,10000,4,7,40,8.0,8.0,0.02,5000,0.7158080208555856
100,10000,4,7,40,8.0,8.0,0.02,1000,0.8252774875270387
100,10000,4,7,40,8.0,8.0,0.02,500,0.9035433236928989
100,10000,4,8,40,8.0,8.0,0.02,5000,0.7093161847701603
100,10000,4,4,40,8.0,8.0,0.02,5000,0.7154936730439445
100,10000,5,2,40,8.0,8.0,0.02,500,0.8958716647913463
100,10000,5,3,40,8.0,8.0,0.02,500,0.893348438316956
100,10000,5,3,40,8.0,8.0,0.02,1000,0.8214338741569682
100,10000,5,1,40,8.0,8.0,0.02,5000,0.6717933589732198
100,10000,5,2,40,8.0,8.0,0.02,1000,0.7436801980989355
100,10000,5,1,40,8.0,8.0,0.02,1000,0.6457736540370218
100,10000,5,7,40,8.0,8.0,0.02,500,0.8982776424949673
100,10000,5,5,40,8.0,8.0,0.02,500,0.9066475837110735
100,10000,4,5,40,8.0,8.0,0.02,5000,0.704331508914493
100,10000,5,8,40,8.0,8.0,0.02,500,0.8804604325442342
100,10000,5,4,40,8.0,8.0,0.02,1000,0.8266001340335505
100,10000,5,2,40,8.0,8.0,0.02,5000,0.7068739079347889
100,10000,5,5,40,8.0,8.0,0.02,5000,0.7120209917682001
100,10000,6,1,40,8.0,8.0,0.02,500,0.7448714553937392
100,10000,6,3,40,8.0,8.0,0.02,500,0.9123725748028058
100,10000,5,6,40,8.0,8.0,0.02,500,0.9049202137937945
100,10000,5,5,40,8.0,8.0,0.02,1000,0.8164710140536828
100,10000,5,1,40,8.0,8.0,0.02,500,0.8143036924657355
100,10000,5,3,40,8.0,8.0,0.02,5000,0.7122162485174585
100,10000,6,3,40,8.0,8.0,0.02,1000,0.8358433156895151
100,10000,6,1,40,8.0,8.0,0.02,5000,0.6859525254905872
100,10000,5,4,40,8.0,8.0,0.02,5000,0.706690726382724
100,10000,6,4,40,8.0,8.0,0.02,500,0.813475317402488
100,10000,6,2,40,8.0,8.0,0.02,1000,0.7883310538211818
100,10000,5,6,40,8.0,8.0,0.02,5000,0.7122486756005519
100,10000,6,5,40,8.0,8.0,0.02,500,0.8971593863978908
100,10000,5,4,40,8.0,8.0,0.02,500,0.904801968219541
100,10000,5,7,40,8.0,8.0,0.02,1000,0.8268742815914603
100,10000,5,8,40,8.0,8.0,0.02,1000,0.8227786275952251
100,10000,5,7,40,8.0,8.0,0.02,5000,0.7042136850836285
100,10000,6,2,40,8.0,8.0,0.02,500,0.896497595540415
100,10000,6,6,40,8.0,8.0,0.02,500,0.9033656048446399
100,10000,5,6,40,8.0,8.0,0.02,1000,0.8190776598160605
100,10000,5,8,40,8.0,8.0,0.02,5000,0.7014809750925568
100,10000,6,2,40,8.0,8.0,0.02,5000,0.7099104224011267
100,10000,6,6,40,8.0,8.0,0.02,1000,0.8190787619680673
100,10000,6,1,40,8.0,8.0,0.02,1000,0.7296015486041839
100,10000,6,5,40,8.0,8.0,0.02,1000,0.827627273576683
100,10000,6,3,40,8.0,8.0,0.02,5000,0.7160459717139781
100,10000,6,7,40,8.0,8.0,0.02,500,0.901278017581217
100,10000,6,4,40,8.0,8.0,0.02,1000,0.8281297939927376
100,10000,6,6,40,8.0,8.0,0.02,5000,0.7114807787344424
100,10000,7,1,40,8.0,8.0,0.02,500,0.7811765814084248
100,10000,6,8,40,8.0,8.0,0.02,1000,0.8173644395313155
100,10000,7,1,40,8.0,8.0,0.02,1000,0.644350798312462
100,10000,6,8,40,8.0,8.0,0.02,500,0.9021913009696458
100,10000,6,7,40,8.0,8.0,0.02,1000,0.8187235652533882
100,10000,7,2,40,8.0,8.0,0.02,1000,0.8168850465789811
100,10000,6,4,40,8.0,8.0,0.02,5000,0.709046002630754
100,10000,6,5,40,8.0,8.0,0.02,5000,0.7150108224341077
100,10000,6,7,40,8.0,8.0,0.02,5000,0.707186054818475
100,10000,7,4,40,8.0,8.0,0.02,1000,0.7972543483336226
100,10000,7,3,40,8.0,8.0,0.02,500,0.8790543549895793
100,10000,7,4,40,8.0,8.0,0.02,500,0.8996746789667462
100,10000,7,3,40,8.0,8.0,0.02,1000,0.8171799129556817
100,10000,7,2,40,8.0,8.0,0.02,500,0.8920486982295877
100,10000,7,2,40,8.0,8.0,0.02,5000,0.7116306963465593
100,10000,7,5,40,8.0,8.0,0.02,1000,0.8306865952406157
100,10000,8,2,40,8.0,8.0,0.02,500,0.9004335468262864
100,10000,6,8,40,8.0,8.0,0.02,5000,0.7117185145528839
100,10000,8,1,40,8.0,8.0,0.02,500,0.8423844469545084
100,10000,7,8,40,8.0,8.0,0.02,500,0.9071666270502853
100,10000,7,3,40,8.0,8.0,0.02,5000,0.7166500943930945
100,10000,7,7,40,8.0,8.0,0.02,500,0.8930877776895079
100,10000,7,6,40,8.0,8.0,0.02,1000,0.8318548703999651
100,10000,7,4,40,8.0,8.0,0.02,5000,0.7147336747877524
100,10000,7,1,40,8.0,8.0,0.02,5000,0.6904966362219541
100,10000,7,6,40,8.0,8.0,0.02,500,0.9034184078980386
100,10000,7,8,40,8.0,8.0,0.02,1000,0.8228109421215442
100,10000,7,5,40,8.0,8.0,0.02,500,0.907136326443345
100,10000,7,7,40,8.0,8.0,0.02,1000,0.8326244146363455
100,10000,8,1,40,8.0,8.0,0.02,1000,0.6513984276248082
100,10000,7,7,40,8.0,8.0,0.02,5000,0.7056181613039848
100,10000,7,8,40,8.0,8.0,0.02,5000,0.7042788995762592
100,10000,7,5,40,8.0,8.0,0.02,5000,0.7123692128855252
100,10000,8,2,40,8.0,8.0,0.02,1000,0.8194276684965163
100,10000,8,3,40,8.0,8.0,0.02,1000,0.8225040673755322
100,10000,8,3,40,8.0,8.0,0.02,500,0.890671568495488
100,10000,8,6,40,8.0,8.0,0.02,500,0.906354524812978
100,10000,8,5,40,8.0,8.0,0.02,1000,0.8245253487851265
100,10000,8,5,40,8.0,8.0,0.02,500,0.9039566357081302
100,10000,8,6,40,8.0,8.0,0.02,1000,0.8279131388341664
100,10000,8,2,40,8.0,8.0,0.02,5000,0.7201136525927073
100,10000,8,8,40,8.0,8.0,0.02,500,0.8487318117779743
100,10000,7,6,40,8.0,8.0,0.02,5000,0.7100989705970383
100,10000,8,6,40,8.0,8.0,0.02,5000,0.7160674775019535
100,10000,8,8,40,8.0,8.0,0.02,1000,0.8277456525205602
100,10000,8,7,40,8.0,8.0,0.02,1000,0.8042626671382831
100,10000,8,4,40,8.0,8.0,0.02,5000,0.715864718828622
100,10000,8,7,40,8.0,8.0,0.02,500,0.8958775857944538
100,10000,8,1,40,8.0,8.0,0.02,5000,0.6807336144351358
100,10000,8,4,40,8.0,8.0,0.02,500,0.8821736400407996
100,10000,8,7,40,8.0,8.0,0.02,5000,0.7043277086842651
100,10000,8,4,40,8.0,8.0,0.02,1000,0.7983927735933168
100,10000,8,5,40,8.0,8.0,0.02,5000,0.7086338279036611
100,10000,8,8,40,8.0,8.0,0.02,5000,0.7006572701788305
100,10000,8,3,40,8.0,8.0,0.02,5000,0.7140805809271803
